Fold,Set,MSE,RMSE,MAE,R2,Deviation (%)
1,Test,0.589913285,0.768058126,0.362794829,0.640417802,486.2166187
2,Test,0.275653095,0.525026757,0.217582637,0.795708552,234.9860768
3,Test,0.417149798,0.645871348,0.315039835,0.75194185,342.4572824
4,Test,0.091792026,0.302971989,0.218284104,-0.684179172,100.8963236
5,Test,0.015183703,0.12322217,0.085513468,0.884951155,32.80736815
6,Test,0.338789921,0.582056631,0.27429494,0.784378668,281.9940785
7,Test,0.119192,0.345241944,0.138604777,0.887712474,121.4327959
8,Test,0.087525799,0.295847594,0.125911937,0.906467445,97.62759889
9,Test,0.065953808,0.256814735,0.17688083,-0.044997625,80.6403371
10,Test,0.099606743,0.315605359,0.209007201,-0.622927761,106.8261076
11,Test,0.077822423,0.278966707,0.160762794,0.913255241,90.09325475
12,Test,0.079993609,0.282831415,0.124955702,0.906756612,91.79240942
13,Test,0.418404856,0.646842219,0.301601416,0.739713826,343.4475082
14,Test,0.391126899,0.62540139,0.397034637,-20.09862792,322.0864303
15,Test,0.148224142,0.384998886,0.270584826,-3.632377524,142.6603869
16,Test,0.438484002,0.662181246,0.271457161,0.691854832,359.3896916
17,Test,0.139941395,0.374087416,0.153801774,0.869364508,136.6395967
18,Test,0.055035374,0.234596194,0.153453808,0.935319415,71.63118239
19,Test,0.049904063,0.223392174,0.161806876,0.637785978,67.26003141
20,Test,0.183138756,0.427947142,0.321402243,-2.661170528,167.8842262
