Fold,Set,MSE,RMSE,MAE,R2,Deviation (%)
1,Test,0.701433734,0.837516408,0.512058548,0.572440408,587.8859007
2,Test,0.025947309,0.161081684,0.097370477,0.980769985,44.90443697
3,Test,0.005397938,0.073470659,0.055917939,0.996790116,18.43243514
4,Test,0.004773671,0.069091755,0.053746061,0.91241378,17.24430461
5,Test,0.069508252,0.263644177,0.141857046,0.473327162,83.50342607
6,Test,0.007588201,0.087110283,0.05048538,0.995170523,22.21099583
7,Test,0.006758384,0.082209393,0.042648659,0.993633111,20.8396318
8,Test,0.006387563,0.079922232,0.052808834,0.993174068,20.20491686
9,Test,0.004586913,0.067726752,0.047137236,0.927323179,16.87637997
10,Test,0.036969478,0.192274487,0.124725536,0.397643261,55.6949358
11,Test,0.213353337,0.46190187,0.294292425,0.762185718,189.6688997
12,Test,0.021772923,0.147556507,0.109039044,0.974620709,40.46124284
13,Test,0.032108046,0.179187181,0.130940863,0.980025852,51.07311387
14,Test,0.278726951,0.527945974,0.256431067,-14.03541754,237.2453526
15,Test,0.027265574,0.165122905,0.074769918,0.14788219,46.25910283
16,Test,0.177809422,0.421674545,0.251399878,0.875044212,164.0429308
17,Test,0.029893917,0.172898574,0.104315378,0.972093986,48.90132886
18,Test,0.037660235,0.194062451,0.140445697,0.95573963,56.33724366
19,Test,0.041384169,0.203430993,0.109703858,0.699625135,59.74636821
20,Test,0.053710774,0.23175585,0.100371131,-0.073744889,70.51235412
