Fold,Set,MSE,RMSE,MAE,R2,Deviation (%)
1,Test,0.349474772,0.591163913,0.291270669,0.786977324,290.0891877
2,Test,0.138357301,0.371964112,0.150214762,0.897460926,135.4854682
3,Test,0.212616866,0.461103965,0.227304657,0.873567369,189.1371958
4,Test,0.279423089,0.528604851,0.321115154,-4.126791131,237.7573833
5,Test,0.125080821,0.353667671,0.282629182,0.052246759,125.7707475
6,Test,0.49611271,0.704352689,0.233804643,0.684251282,406.2356068
7,Test,0.061636318,0.248266626,0.153099136,0.941934109,77.11960138
8,Test,0.04637938,0.215358724,0.163302493,0.950437677,64.19454491
9,Test,0.208184938,0.456272877,0.250664322,-2.298562621,185.9386597
10,Test,0.201767577,0.44918546,0.247435856,-2.287470251,181.3101874
11,Test,0.028830193,0.169794561,0.144417107,0.967864427,47.84088753
12,Test,0.028400649,0.168524922,0.154943863,0.966895196,47.4093128
13,Test,0.254110061,0.504093306,0.229917076,0.841920248,219.2223616
14,Test,0.997059684,0.99852876,0.46059435,-52.78456801,896.6180757
15,Test,0.310937155,0.557617391,0.28509547,-8.717568745,261.0916048
16,Test,0.252368119,0.502362537,0.188958589,0.822647996,217.9527145
17,Test,0.130065875,0.360646468,0.253189601,0.87858332,129.4280257
18,Test,0.124953985,0.35348831,0.338089941,0.853147235,125.6775248
19,Test,0.025373587,0.159290889,0.129416766,0.815833251,44.30816001
20,Test,0.138512216,0.372172294,0.207293686,-1.769030727,135.5983766
