Fold,Set,MSE,RMSE,MAE,R2,Deviation (%)
1,Test,0.816883937,0.903816318,0.504120703,0.502067628,701.3390706
2,Test,0.037743432,0.194276689,0.121097819,0.972027666,56.41438418
3,Test,0.11050702,0.332425962,0.194257212,0.934286994,114.993813
4,Test,0.068678453,0.262065742,0.166874797,-0.2600966,82.83769682
5,Test,0.038637011,0.196562994,0.071188312,0.707242472,57.2399852
6,Test,0.072479331,0.269219857,0.153813931,0.953870853,85.87451864
7,Test,0.019779182,0.140638479,0.090676902,0.981366573,38.24151327
8,Test,0.016607893,0.128871614,0.08240123,0.982252334,34.54625506
9,Test,0.028674865,0.169336545,0.106675075,0.545664351,47.6850535
10,Test,0.060759702,0.246494832,0.132480471,0.010020755,76.39847746
11,Test,0.076898472,0.277305737,0.17490409,0.914285124,89.36762709
12,Test,0.012850495,0.113360023,0.083397415,0.985021008,29.82550576
13,Test,0.11711447,0.342219915,0.205636382,0.927144064,119.8973091
14,Test,0.241449948,0.491375567,0.332163824,-12.02457752,210.009903
15,Test,0.020366391,0.142710866,0.125553203,0.363499013,38.90275693
16,Test,0.078607139,0.280369648,0.160882825,0.944758737,90.70832318
17,Test,0.072757189,0.269735406,0.13942035,0.93208106,86.09530038
18,Test,0.034751181,0.186416686,0.145311381,0.959158509,53.6090087
19,Test,0.007603394,0.087197445,0.05202888,0.944812989,22.23552593
20,Test,0.020212266,0.142169849,0.108138242,0.595931774,38.72982833
