0,Set,MSE,RMSE,MAE,R2,Deviation (%)
1,Test,0.624695253,0.790376652,0.476376669,0.619216421,517.1299908
2,Test,0.021550735,0.146801684,0.086516919,0.984028365,40.21732719
3,Test,0.012467227,0.111656738,0.090584845,0.992586363,29.31733276
4,Test,0.004098437,0.064019037,0.045205953,0.924802811,15.88281505
5,Test,0.055440466,0.235457992,0.127385105,0.579920561,71.97209889
6,Test,0.019922188,0.14114598,0.051346013,0.987320613,38.40315164
7,Test,0.007075473,0.084115832,0.044212065,0.99333439,21.37125196
8,Test,0.005229101,0.072312522,0.054515267,0.994412034,18.11703102
9,Test,0.004296741,0.065549529,0.047329406,0.931920779,16.29191685
10,Test,0.044104268,0.210010162,0.127007089,0.281393617,62.18480452
11,Test,0.215839111,0.46458488,0.293750098,0.75941495,191.4639729
12,Test,0.019477951,0.139563429,0.067736073,0.97729581,37.89973428
13,Test,0.028467734,0.16872384,0.12130704,0.98229046,47.47684573
14,Test,0.243374882,0.493330399,0.213790898,-12.12841458,211.408454
15,Test,0.076617464,0.276798599,0.137614516,-1.394488605,89.14662592
16,Test,0.16461439,0.405726989,0.257320633,0.884317036,154.5229742
17,Test,0.013912582,0.11795161,0.066879354,0.987012585,31.20536995
18,Test,0.043280821,0.208040432,0.149981589,0.949134009,61.45088559
19,Test,0.021747908,0.14747172,0.076745484,0.842149181,40.43382337
20,Test,0.079097959,0.281243594,0.14477717,-0.581266156,91.09247881
