Fold,Set,MSE,RMSE,MAE,R2,Deviation (%)
1,Test,0.6212183,0.788174029,0.432738653,0.621335801,514.0079991
2,Test,0.021363043,0.146161017,0.083868599,0.984167466,40.01063223
3,Test,0.012412514,0.111411461,0.072127007,0.992618898,29.24431847
4,Test,0.006493368,0.080581436,0.055507907,0.880861166,20.38751123
5,Test,0.131251995,0.362287173,0.159608817,0.005486991,130.2964125
6,Test,0.022995216,0.151641735,0.073072041,0.985364798,41.7887372
7,Test,0.007473052,0.086446817,0.050196911,0.992959842,22.02443833
8,Test,0.003539086,0.059490215,0.047935952,0.996218033,14.68066815
9,Test,0.002779787,0.052723682,0.032251449,0.955955986,12.90773157
10,Test,0.054066962,0.232523036,0.136640384,0.119067926,70.81383228
11,Test,0.229916502,0.479496092,0.28183303,0.743723587,201.644973
12,Test,0.037261226,0.193031671,0.1347543,0.956566994,55.96662379
13,Test,0.023402211,0.152977813,0.110085906,0.985441679,42.22561254
14,Test,0.213750251,0.462331321,0.201606615,-10.53036783,189.9554803
15,Test,0.091131215,0.301879471,0.135484129,-1.848079845,100.3915805
16,Test,0.15283561,0.390941952,0.237311419,0.892594589,146.0038771
17,Test,0.022530617,0.150102021,0.118647656,0.978967637,41.28694048
18,Test,0.040742721,0.201848263,0.146271361,0.952116923,59.16525268
19,Test,0.031731609,0.178133682,0.099819983,0.769685416,50.70708926
20,Test,0.032259157,0.179608343,0.102330931,0.355099504,51.21968993
