Fold,Set,MSE,RMSE,MAE,R2,Deviation (%)
1,Test,0.746088013,0.863763864,0.475510784,0.54522135,630.7416547
2,Test,0.014646628,0.121023254,0.066792882,0.989145122,32.13663832
3,Test,0.00885169,0.094083421,0.073561064,0.994736342,24.18908327
4,Test,0.039504366,0.198757052,0.114095416,0.275182901,58.03637246
5,Test,0.083578368,0.289099235,0.138336092,0.366716111,94.58046429
6,Test,0.004879248,0.069851614,0.041468889,0.996894624,17.44961944
7,Test,0.009185904,0.095843121,0.04834328,0.991346211,24.69330066
8,Test,0.005007728,0.070765303,0.056555426,0.994648599,17.69697563
9,Test,0.003529865,0.059412667,0.036449483,0.944071455,14.66019256
10,Test,0.059036174,0.242973608,0.13929152,0.038102804,74.97403558
11,Test,0.214126319,0.462737851,0.293709543,0.761324114,190.2270257
12,Test,0.028416481,0.168571888,0.129862109,0.966876742,47.42525507
13,Test,0.037472984,0.193579401,0.120535832,0.976688369,56.16345206
14,Test,0.192437652,0.438677161,0.216409251,-9.38069851,174.5852228
15,Test,0.019675283,0.140268611,0.072636948,0.385097875,38.12382959
16,Test,0.006164092,0.078511734,0.05377016,0.995668177,19.81514946
17,Test,0.01781005,0.133454301,0.107196845,0.983374293,35.97350758
18,Test,0.041358391,0.203367626,0.143950308,0.951393354,59.72306134
19,Test,0.037134569,0.192703318,0.120827631,0.730469615,55.84874794
20,Test,0.00513134,0.07163337,0.056771448,0.897418165,17.93246331
